Number,Title,Author,Status
1,EIP Purpose and Guidelines,"Martin Becze <[email protected]>, Hudson Jameson <[email protected]>, et al.",Living
5069,EIP Editor Handbook,"Pooja Ranjan (@poojaranjan), Gavin John (@Pandapip1)",Living 
2,Homestead Hard-fork Changes,Vitalik Buterin (@vbuterin),Final
4,EIP Classification,Joseph Chow (@ethers),Final
5,Gas Usage for `RETURN` and `CALL*`,Christian Reitwiessner <[email protected]>,Final
6,Renaming SUICIDE opcode,Hudson Jameson <[email protected]>,Final
7,DELEGATECALL,Vitalik Buterin (@vbuterin),Final
8,devp2p Forward Compatibility Requirements for Homestead,Felix Lange <[email protected]>,Final
20,Token Standard,"Fabian Vogelsteller <[email protected]>, Vitalik Buterin <[email protected]>",Final
55,Mixed-case checksum address encoding,"Vitalik Buterin <[email protected]>, Alex Van de Sande <[email protected]>",Final
100,Change difficulty adjustment to target mean block time including uncles,Vitalik Buterin (@vbuterin),Final
137,Ethereum Domain Name Service - Specification,Nick Johnson <[email protected]>,Final
140,REVERT instruction,"Alex Beregszaszi (@axic), Nikolai Mushegian <[email protected]>",Final
141,Designated invalid EVM instruction,Alex Beregszaszi (@axic),Final
145,Bitwise shifting instructions in EVM,"Alex Beregszaszi (@axic), Pawe? Bylica (@chfast)",Final
150,Gas cost changes for IO-heavy operations,Vitalik Buterin (@vbuterin),Final
152,Add BLAKE2 compression function `F` precompile,"Tjaden Hess <[email protected]>, Matt Luongo (@mhluongo), Piotr Dyraga (@pdyraga), James Hancock (@MadeOfTin)",Final
155,Simple replay attack protection,Vitalik Buterin (@vbuterin),Final
158,State clearing,Vitalik Buterin (@vbuterin),Final
160,EXP cost increase,Vitalik Buterin (@vbuterin),Final
161,State trie clearing (invariant-preserving alternative),Gavin Wood (@gavofyork),Final
162,Initial ENS Hash Registrar,"Maurelian, Nick Johnson <[email protected]>, Alex Van de Sande <[email protected]>",Final
165,Standard Interface Detection,"Christian Reitwießner <[email protected]>, Nick Johnson <[email protected]>, Fabian Vogelsteller <[email protected]>, Jordi Baylina <[email protected]>, Konrad Feldmeier <[email protected]>, William Entriken <[email protected]>",Final
170,Contract code size limit,Vitalik Buterin (@vbuterin),Final
173,Contract Ownership Standard,"Nick Mudge (@mudgen), Dan Finlay <[email protected]>",Final
181,ENS support for reverse resolution of Ethereum addresses,Nick Johnson <[email protected]>,Final
190,Ethereum Smart Contract Packaging Standard,"Piper Merriam (@pipermerriam), Tim Coulter (@tcoulter), Denis Erfurt (@mhhf), RJ Catalano (@VoR0220), Iuri Matias (@iurimatias)",Final
191,Signed Data Standard,"Martin Holst Swende (@holiman), Nick Johnson <[email protected]>",Final
196,Precompiled contracts for addition and scalar multiplication on the elliptic curve alt_bn128,Christian Reitwiessner <[email protected]>,Final
197,Precompiled contracts for optimal ate pairing check on the elliptic curve alt_bn128,"Vitalik Buterin <[email protected]>, Christian Reitwiessner <[email protected]>",Final
198,Big integer modular exponentiation,Vitalik Buterin (@vbuterin),Final
211,New opcodes: RETURNDATASIZE and RETURNDATACOPY,Christian Reitwiessner <[email protected]>,Final
214,New opcode STATICCALL,"Vitalik Buterin <[email protected]>, Christian Reitwiessner <[email protected]>",Final
225,Clique proof-of-authority consensus protocol,Péter Szilágyi <[email protected]>,Final
234,Add `blockHash` to JSON-RPC filter options.,Micah Zoltu (@MicahZoltu),Final
600,Ethereum purpose allocation for Deterministic Wallets,"Nick Johnson (@arachnid), Micah Zoltu (@micahzoltu)",Final
601,Ethereum hierarchy for deterministic wallets,"Nick Johnson (@arachnid), Micah Zoltu (@micahzoltu)",Final
606,Hardfork Meta: Homestead,Alex Beregszaszi (@axic),Final
607,Hardfork Meta: Spurious Dragon,Alex Beregszaszi (@axic),Final
608,Hardfork Meta: Tangerine Whistle,Alex Beregszaszi (@axic),Final
609,Hardfork Meta: Byzantium,Alex Beregszaszi (@axic),Final
627,Whisper Specification,Vlad Gluhovsky <[email protected]>,Final
649,Metropolis Difficulty Bomb Delay and Block Reward Reduction,"Afri Schoedon (@5chdn), Vitalik Buterin (@vbuterin)",Final
658,Embedding transaction status code in receipts,Nick Johnson <[email protected]>,Final
681,URL Format for Transaction Requests,Daniel A. Nagy (@nagydani),Final
684,Revert creation in case of collision,"Vitalik Buterin (@vbuterin), Renan Rodrigues de Souza (@RenanSouza2)",Final
695,Create `eth_chainId` method for JSON-RPC,"Isaac Ardis <[email protected]>, Wei Tang (@sorpaas), Fan Torchz (@tcz001), Erik Marks (@rekmarks)",Final
706,DEVp2p snappy compression,Péter Szilágyi <[email protected]>,Final
712,Typed structured data hashing and signing,"Remco Bloemen (@Recmo), Leonid Logvinov (@LogvinovLeon), Jacob Evans (@dekz)",Final
721,Non-Fungible Token Standard,"William Entriken (@fulldecent), Dieter Shirley <[email protected]>, Jacob Evans <[email protected]>, Nastassia Sachs <[email protected]>",Final
747,wallet_watchAsset RPC Method,"Dan Finlay (@danfinlay), Esteban Mino (@estebanmino), Gavin John (@Pandapip1)",Final
777,Token Standard,"Jacques Dafflon <[email protected]>, Jordi Baylina <[email protected]>, Thomas Shababi <[email protected]>",Final
778,Ethereum Node Records (ENR),Felix Lange <[email protected]>,Final
779,Hardfork Meta: DAO Fork,Casey Detrio (@cdetrio),Final
820,Pseudo-introspection Registry Contract,"Jordi Baylina <[email protected]>, Jacques Dafflon <[email protected]>",Final
868,Node Discovery v4 ENR Extension,Felix Lange <[email protected]>,Final
1013,Hardfork Meta: Constantinople,Nick Savers (@nicksavers),Final
1014,Skinny CREATE2,Vitalik Buterin (@vbuterin),Final
1046,tokenURI Interoperability,"Tommy Nicholas (@tomasienrbc), Matt Russo (@mateosu), John Zettler (@JohnZettler), Matt Condon (@shrugs), Gavin John (@Pandapip1)",Final
1052,EXTCODEHASH opcode,"Nick Johnson <[email protected]>, Pawe? Bylica <[email protected]>",Final
1108,Reduce alt_bn128 precompile gas costs,"Antonio Salazar Cardozo (@shadowfiend), Zachary Williamson (@zac-williamson)",Final
1155,Multi Token Standard,"Witek Radomski <[email protected]>, Andrew Cooke <[email protected]>, Philippe Castonguay (@phabc) <[email protected]>, James Therien <[email protected]>, Eric Binet <[email protected]>, Ronan Sandford (@wighawag) <[email protected]>",Final
1167,Minimal Proxy Contract,"Peter Murray (@yarrumretep), Nate Welch (@flygoing), Joe Messerman (@JAMesserman)",Final
1193,Ethereum Provider JavaScript API,"Fabian Vogelsteller (@frozeman), Ryan Ghods (@ryanio), Victor Maia (@MaiaVictor), Marc Garreau (@marcgarreau), Erik Marks (@rekmarks)",Final
1234,Constantinople Difficulty Bomb Delay and Block Reward Adjustment,Afri Schoedon (@5chdn),Final
1271,Standard Signature Validation Method for Contracts,"Francisco Giordano (@frangio), Matt Condon (@shrugs), Philippe Castonguay (@PhABC), Amir Bandeali (@abandeali1), Jorge Izquierdo (@izqui), Bertrand Masius (@catageek)",Final
1283,Net gas metering for SSTORE without dirty maps,Wei Tang (@sorpaas),Final
1344,ChainID opcode,"Richard Meissner (@rmeissner), Bryant Eisenbach (@fubuloubu)",Final
1363,Payable Token,Vittorio Minacori (@vittominacori),Final
1559,Fee market change for ETH 1.0 chain,"Vitalik Buterin (@vbuterin), Eric Conner (@econoar), Rick Dudley (@AFDudley), Matthew Slipper (@mslipper), Ian Norden (@i-norden), Abdelhamid Bakhta (@abdelhamidbakhta)",Final
1679,Hardfork Meta: Istanbul,"Alex Beregszaszi (@axic), Afri Schoedon (@5chdn)",Final
1716,Hardfork Meta: Petersburg,"Afri Schoedon (@5chdn), Marius van der Wijden (@MariusVanDerWijden)",Final
1820,Pseudo-introspection Registry Contract,"Jordi Baylina <[email protected]>, Jacques Dafflon <[email protected]>",Final
1884,Repricing for trie-size-dependent opcodes,Martin Holst Swende (@holiman),Final
1967,Proxy Storage Slots,"Santiago Palladino (@spalladino), Francisco Giordano (@frangio), Hadrien Croubois (@Amxx)",Final
2028,Transaction data gas cost reduction,"Alexey Akhunov (@AlexeyAkhunov), Eli Ben Sasson <[email protected]>, Tom Brand <[email protected]>, Louis Guthmann <[email protected]>, Avihu Levy <[email protected]>",Final
2098,Compact Signature Representation,"Richard Moore (@ricmoo), Nick Johnson <[email protected]>",Final
2124,Fork identifier for chain compatibility checks,"Péter Szilágyi <[email protected]>, Felix Lange <[email protected]>",Final
2159,Common Prometheus Metrics Names for Clients,Adrian Sutton (@ajsutton),Final
2200,Structured Definitions for Net Gas Metering,Wei Tang (@sorpaas),Final
2228,Canonicalize the name of network ID 1 and chain ID 1,William Entriken (@fulldecent),Final
2255,Wallet Permissions System,"Dan Finlay (@danfinlay), Erik Marks (@rekmarks), Gavin John (@Pandapip1)",Final
2309,ERC-721 Consecutive Transfer Extension,Sean Papanikolas (@pizzarob),Final
2364,eth/64: forkid-extended protocol handshake,"Péter Szilágyi <[email protected]>, Péter Szilágyi (@karalabe), Tim Beiko (@timbeiko)",Final
