File,First Commit Message,First Commit Date,Last Commit Message,Last Commit Date,Number,Title,Author,Status
eip-100.md,create file for EIP 100,2017-08-15 15:34:17+00:00,Fix author fields (#2065),2019-05-23 20:23:03+00:00,100,Change difficulty adjustment to target mean block time including uncles,Vitalik Buterin,Final
eip-101.md,added draft for eip 101,2015-11-21 10:30:46+00:00,"Update author format to preferred name + GitHub username format, Vitalik (#4559)",2021-12-19 01:32:27+00:00,101,Serenity Currency and Crypto Abstraction,Vitalik Buterin,Stagnant
eip-1010.md,"EIP 1010: Uniformity Between Two Addresses (#1010)

* Create eip-draft_uniformity_between_0xAb5801a7D398351b8bE11C439e05C5B3259aeC9B_and_0x15E55EF43efA8348dDaeAa455F16C43B64917e3c.md

* Fix typo

* Use pull request ID as tentative EIP

I think this might fix the Travis CI build errors

* Update and rename eip-draft_uniformity_between_0xAb5801a7D398351b8bE11C439e05C5B3259aeC9B_and_0x15E55EF43efA8348dDaeAa455F16C43B64917e3c.md to eip-1010.md",2018-04-19 13:22:15+00:00,"(bot 1272989785) moving EIPS/eip-1010.md to stagnant (#3987)

PR 3987 with changes to EIPS/eip-1010.md was created on 
	(2021-Sep-19th@01.4.12)
which is before the cutoff date of 
	(2021-Sep-26th@01.7.25)
i.e. 2 weeks ago",2021-10-10 01:08:57+00:00,1010,Uniformity Between 0xAb5801a7D398351b8bE11C439e05C5B3259aeC9B and 0x15E55EF43efA8348dDaeAa455F16C43B64917e3c,Anderson Wesley,Stagnant
eip-1011.md,"Hybrid Casper FFG (#1011)

* Hybrid Casper FFG EIP

* [hybrid-casper-ffg] add EIP version number and rename file

* [hybrid-casper-ffg] fix broken sighash link",2018-04-20 13:21:20+00:00,Fix a typo in eip-1011.md (#4654),2022-01-11 04:43:34+00:00,1011,Hybrid Casper FFG,"Danny Ryan, Chih-Cheng Liang",Stagnant
eip-1013.md,"Constantinople EIP (#1013)

* Create constantinople.md

* Update and rename constantinople.md to eip-1013.md

* Update eip-1013.md

Add EIP-145

* Rename eip-1013.md to EIPS/eip-1013.md",2018-04-20 12:25:39+00:00,"Update EIP to refer to Ethereum Mainnet, wording as per EIP-2228 (#4537)",2022-03-24 01:38:17+00:00,1013,Hardfork Meta: Constantinople,Nick Savers,Final
eip-1014.md,"Skinny CREATE2 (#1014)

* Create Skinny_CREATE2.md

* Update Skinny_CREATE2.md

* Update and rename Skinny_CREATE2.md to eip-1014.md

* Update eip-1014.md

* Update eip-1014.md

* Update eip-1014.md

* Update eip-1014.md",2018-06-18 15:42:44+00:00,"Adds rule to EIP-1 that references to other EIPs must use relative path format and the first reference must be linked. (#2947)

I have gone through and updated all existing EIPs to match this rule, including EIP-1.

In some cases, people were using markdown citations, I suspect because the long-form was a bit verbose to inline.  Since the relative path is quite short, I moved these to inline but I wouldn't be opposed to putting them back to citation format if that is desired by the authors.

In doing the migration/cleanup, I found some EIP references to EIPs that don't actually exist.  In these cases I tried to excise the reference from the EIP as best I could.

It is worth noting that the Readme actually already had this rule, it just wasn't expressed properly in EIP-1 and the ""Citation Format"" section of the readme I think caused people a bit of confusion (when citing externally, you should use the citation format).",2020-09-30 04:22:43+00:00,1014,Skinny CREATE2,Vitalik Buterin,Final
eip-1015.md,"Variable issuance by on chain contract (#1015)

* Create EIP-X-on-chain-issuance-control.md

* Update and rename EIP-X-on-chain-issuance-control.md to EIP-1000-on-chain-issuance-control.md

* Update and rename EIP-1000-on-chain-issuance-control.md to EIP-1015-on-chain-issuance-control.md

* Rename EIP-1015-on-chain-issuance-control.md to EIP-1015.md

* Rename EIP-1015.md to eip-1015.md",2018-04-24 20:28:24+00:00,docs: fix a typo in eip-1015.md (#4670),2022-01-13 10:50:02+00:00,1015,Configurable On Chain Issuance,Alex Van de Sande,Stagnant
eip-1046.md,"ERC20 metadata extension (#1046)

* Add initial EIP skeleton

* Initial take through ""Rationale""

* First very rough draft of ERC20 Metadata Extension

Nearly ready for comments by Matt, Matt, and John

* Initial ""Token Metadata Standard"" Proposal + small change to ERC721

- Added initial “Token Metadata JSON Schema”
- Re-named “ERC721 Metadata JSON Schema” to “Token Metadata JSON
Schema” in the ERC721 EIP

* ERC20 Metadata Extension ready to read

* Update Title of ERC Metadata Extension

* Fixing Matt's Github handle

Apparently Github handles for authors are meant to be “accurate” - who
knew?

* update grammatical errors; properly format JSON to remove excess commas

* update JSON descriptions & make grammatical changes to EIP

* Changed language in Token Metadata JSON Schema to reflect use by tokens which are not NFT's. Added clarification for backwards compatibility

* update authors and contact email

* Author Fix

* Removing Token Metadata Standard

This Branch will be just the ERC20 Token Metadata Extension

* Updates from reviewer comments

- Some grammar fixes
- Removed mentions of ERC721 standard code
- Added EIP # and discussion forum

* Fixing discussion-to

discussion-to instead of discussion-forum

* Should remove the change to 721

* 100% revert on ERC721

No changes to ERC721 in this PR now

* Discussions-to",2018-05-06 15:03:56+00:00,Update EIP-1046: Move to Final (#6701),2023-03-17 16:56:02+00:00,1046,ERC20 Metadata Extension,"Tommy Nicholas, Matt Russo, John Zettler, Matt Condon",Stagnant
eip-1051.md,"Arithmetic overflow detection for the EVM (#1051)

* Create eip-x-overflow.md

* Update and rename eip-x-overflow.md to eip-1051.md

* Update eip-1051.md",2018-05-02 18:10:55+00:00,"(bot 1272989785) moving EIPS/eip-1051.md to stagnant (#3991)

PR 3991 with changes to EIPS/eip-1051.md was created on 
	(2021-Sep-19th@01.4.48)
which is before the cutoff date of 
	(2021-Sep-26th@01.7.25)
i.e. 2 weeks ago",2021-10-10 01:08:32+00:00,1051,Overflow checking for the EVM,Nick Johnson,Stagnant
eip-1052.md,"'EXTCODEHASH' opcode (#1052)

* Create eip-x-codehash.md

* Update and rename eip-x-codehash.md to eip-1052.md",2018-05-02 19:46:45+00:00,docs: fix a typo in eip-1052.md (#4701),2022-01-23 03:32:54+00:00,1052,EXTCODEHASH opcode,"Nick Johnson, Paweł Bylica",Final
